"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Insert",10000000,9,inf,1
"Insert",10000000,10,inf,1
"Insert",1000000,1,inf,99
"Insert",1000000,2,inf,0
"Insert",1000000,3,inf,0
"Insert",1000000,4,inf,0
"Insert",1000000,5,inf,0
"Insert",1000000,6,58.83,379
"Insert",1000000,7,50.09,389
"Insert",1000000,8,42.97,393
"Insert",1000000,9,38.69,385
"Insert",1000000,10,35.17,389
"Insert",500000,1,inf,99
"Insert",500000,2,49.01,199
"Insert",500000,3,31.25,268
"Insert",500000,4,21.68,393
"Insert",500000,5,17.38,386
"Insert",500000,6,15.03,378
"Insert",500000,7,13.03,369
"Insert",500000,8,11.29,373
"Insert",500000,9,10.21,367
"Insert",500000,10,9.01,377
"Insert",100000,1,7.53,100
"Insert",100000,2,2.02,198
"Insert",100000,3,1.42,258
"Insert",100000,4,0.97,350
"Insert",100000,5,0.79,347
"Insert",100000,6,0.7,334
"Insert",100000,7,0.61,333
"Insert",100000,8,0.57,314
"Insert",100000,9,0.51,316
"Insert",100000,10,0.47,308
"Insert",10000,1,0.08,98
"Insert",10000,2,0.02,177
"Insert",10000,3,0.02,192
"Insert",10000,4,0.02,204
"Insert",10000,5,0.02,182
"Insert",10000,6,0.02,180
"Insert",10000,7,0.02,172
"Insert",10000,8,0.02,170
"Insert",10000,9,0.02,160
"Insert",10000,10,0.03,158
"Insert",1000,1,0.0,100
"Insert",1000,2,0.0,133
"Insert",1000,3,0.0,120
"Insert",1000,4,0.0,150
"Insert",1000,5,0.0,157
"Insert",1000,6,0.01,140
"Insert",1000,7,0.01,121
"Insert",1000,8,0.01,120
"Insert",1000,9,0.01,131
"Insert",1000,10,0.01,141

"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",40000000,1,19.53,87
"Quick",40000000,2,21.47,120
"Quick",40000000,3,23.94,137
"Quick",40000000,4,30.05,142
"Quick",40000000,5,31.44,145
"Quick",40000000,6,36.05,135
"Quick",40000000,7,36.38,144
"Quick",40000000,8,41.23,135
"Quick",40000000,9,43.22,135
"Quick",40000000,10,47.5,130
"Quick",30000000,1,13.83,91
"Quick",30000000,2,16.21,118
"Quick",30000000,3,19.59,126
"Quick",30000000,4,20.02,158
"Quick",30000000,5,24.72,138
"Quick",30000000,6,25.09,146
"Quick",30000000,7,29.41,133
"Quick",30000000,8,30.51,137
"Quick",30000000,9,34.39,128
"Quick",30000000,10,35.4,132
"Quick",20000000,1,8.82,94
"Quick",20000000,2,9.31,136
"Quick",20000000,3,11.33,143
"Quick",20000000,4,13.25,165
"Quick",20000000,5,14.25,157
"Quick",20000000,6,15.76,153
"Quick",20000000,7,17.69,146
"Quick",20000000,8,19.52,143
"Quick",20000000,9,20.89,140
"Quick",20000000,10,22.48,137
"Heap",40000000,1,31.89,92
"Heap",40000000,2,27.34,138
"Heap",40000000,3,28.7,164
"Heap",40000000,4,30.31,199
"Heap",40000000,5,34.74,178
"Heap",40000000,6,40.3,161
"Heap",40000000,7,41.37,161
"Heap",40000000,8,44.32,158
"Heap",40000000,9,46.9,156
"Heap",40000000,10,52.35,145
"Heap",30000000,1,22.64,94
"Heap",30000000,2,19.62,141
"Heap",30000000,3,21.72,163
"Heap",30000000,4,25.78,171
"Heap",30000000,5,26.03,174
"Heap",30000000,6,30.06,157
"Heap",30000000,7,30.07,162
"Heap",30000000,8,32.74,158
"Heap",30000000,9,34.94,153
"Heap",30000000,10,39.69,141
"Heap",20000000,1,14.26,97
"Heap",20000000,2,11.84,151
"Heap",20000000,3,13.28,169
"Heap",20000000,4,14.42,197
"Heap",20000000,5,16.02,181
"Heap",20000000,6,17.6,174
"Heap",20000000,7,19.11,167
"Heap",20000000,8,20.99,160
"Heap",20000000,9,22.3,157
"Heap",20000000,10,23.89,152
"Insert",40000000,1,inf,99
"Insert",40000000,2,inf,3
"Insert",40000000,3,inf,3
"Insert",40000000,4,inf,3
"Insert",40000000,5,inf,3
"Insert",40000000,6,inf,3
"Insert",40000000,7,inf,3
"Insert",40000000,8,inf,3
"Insert",40000000,9,inf,3
"Insert",40000000,10,inf,3
"Insert",30000000,1,inf,99
"Insert",30000000,2,inf,2
"Insert",30000000,3,inf,2
"Insert",30000000,4,inf,2
"Insert",30000000,5,inf,2
"Insert",30000000,6,inf,2
"Insert",30000000,7,inf,2
"Insert",30000000,8,inf,2
"Insert",30000000,9,inf,2
"Insert",30000000,10,inf,2
"Insert",20000000,1,inf,99
"Insert",20000000,2,inf,1
"Insert",20000000,3,inf,1
"Insert",20000000,4,inf,1
"Insert",20000000,5,inf,1
"Insert",20000000,6,inf,1
"Insert",20000000,7,inf,1
"Insert",20000000,8,inf,1
"Insert",20000000,9,inf,1
"Insert",20000000,10,inf,1
