"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",50000000,1,21.29,99
"Quick",50000000,2,25.53,127
"Quick",50000000,3,29.99,139
"Quick",50000000,4,33.59,159
"Quick",50000000,5,37.53,153
"Quick",50000000,6,40.61,152
"Quick",50000000,7,49.52,132
"Quick",50000000,8,52.71,133
"Quick",50000000,9,54.88,135
"Quick",50000000,10,inf,130
"Quick",10000000,1,4.14,100
"Quick",10000000,2,4.38,143
"Quick",10000000,3,5.22,154
"Quick",10000000,4,6.02,173
"Quick",10000000,5,6.94,161
"Quick",10000000,6,7.79,155
"Quick",10000000,7,8.61,149
"Quick",10000000,8,9.45,146
"Quick",10000000,9,10.27,142
"Quick",10000000,10,11.14,138
"Quick",1000000,1,0.4,99
"Quick",1000000,2,0.44,139
"Quick",1000000,3,0.52,153
"Quick",1000000,4,0.6,170
"Quick",1000000,5,0.71,154
"Quick",1000000,6,0.79,151
"Quick",1000000,7,0.86,143
"Quick",1000000,8,0.95,142
"Quick",1000000,9,1.03,139
"Quick",1000000,10,1.11,136
"Quick",500000,1,0.19,100
"Quick",500000,2,0.22,143
"Quick",500000,3,0.27,154
"Quick",500000,4,0.3,168
"Quick",500000,5,0.36,152
"Quick",500000,6,0.4,147
"Quick",500000,7,0.44,142
"Quick",500000,8,0.48,140
"Quick",500000,9,0.52,136
"Quick",500000,10,0.57,135
"Quick",100000,1,0.03,100
"Quick",100000,2,0.04,142
"Quick",100000,3,0.05,155
"Quick",100000,4,0.06,161
"Quick",100000,5,0.08,142
"Quick",100000,6,0.08,142
"Quick",100000,7,0.1,139
"Quick",100000,8,0.1,136
"Quick",100000,9,0.11,137
"Quick",100000,10,0.12,131
"Quick",10000,1,0.0,100
"Quick",10000,2,0.0,137
"Quick",10000,3,0.01,140
"Quick",10000,4,0.01,135
"Quick",10000,5,0.01,137
"Quick",10000,6,0.01,138
"Quick",10000,7,0.02,128
"Quick",10000,8,0.02,134
"Quick",10000,9,0.02,133
"Quick",10000,10,0.02,132
"Quick",1000,1,0.0,100
"Quick",1000,2,0.0,133
"Quick",1000,3,0.0,120
"Quick",1000,4,0.0,133
"Quick",1000,5,0.0,125
"Quick",1000,6,0.01,130
"Quick",1000,7,0.01,133
"Quick",1000,8,0.01,130
"Quick",1000,9,0.01,133
"Quick",1000,10,0.01,137
"Heap",50000000,1,40.12,94
"Heap",50000000,2,33.38,147
"Heap",50000000,3,36.02,170
"Heap",50000000,4,41.29,189
"Heap",50000000,5,42.09,191
"Heap",50000000,6,49.33,168
"Heap",50000000,7,54.04,161
"Heap",50000000,8,59.08,151
"Heap",50000000,9,inf,154
"Heap",50000000,10,inf,155
"Heap",10000000,1,6.55,99
"Heap",10000000,2,5.47,155
"Heap",10000000,3,6.11,173
"Heap",10000000,4,6.82,198
"Heap",10000000,5,7.63,184
"Heap",10000000,6,8.43,173
"Heap",10000000,7,9.23,164
"Heap",10000000,8,10.38,156
"Heap",10000000,9,10.84,155
"Heap",10000000,10,11.72,151
"Heap",1000000,1,0.5,100
"Heap",1000000,2,0.49,149
"Heap",1000000,3,0.57,162
"Heap",1000000,4,0.63,181
"Heap",1000000,5,0.72,167
"Heap",1000000,6,0.8,157
"Heap",1000000,7,0.89,153
"Heap",1000000,8,0.97,147
"Heap",1000000,9,1.07,143
"Heap",1000000,10,1.14,141
"Heap",500000,1,0.24,99
"Heap",500000,2,0.24,147
"Heap",500000,3,0.29,161
"Heap",500000,4,0.31,178
"Heap",500000,5,0.37,157
"Heap",500000,6,0.41,155
"Heap",500000,7,0.45,149
"Heap",500000,8,0.49,146
"Heap",500000,9,0.53,142
"Heap",500000,10,0.58,140
"Heap",100000,1,0.04,97
"Heap",100000,2,0.05,154
"Heap",100000,3,0.06,158
"Heap",100000,4,0.06,164
"Heap",100000,5,0.08,148
"Heap",100000,6,0.08,144
"Heap",100000,7,0.1,143
"Heap",100000,8,0.11,139
"Heap",100000,9,0.11,137
"Heap",100000,10,0.12,135
"Heap",10000,1,0.0,100
"Heap",10000,2,0.0,150
"Heap",10000,3,0.01,150
"Heap",10000,4,0.01,135
"Heap",10000,5,0.01,137
"Heap",10000,6,0.01,133
"Heap",10000,7,0.02,147
"Heap",10000,8,0.02,139
"Heap",10000,9,0.02,136
"Heap",10000,10,0.02,132
"Heap",1000,1,0.0,100
"Heap",1000,2,0.0,133
"Heap",1000,3,0.0,150
"Heap",1000,4,0.0,133
"Heap",1000,5,0.0,137
"Heap",1000,6,0.01,123
"Heap",1000,7,0.01,133
"Heap",1000,8,0.01,126
"Heap",1000,9,0.01,123
"Heap",1000,10,0.01,146
"Insert",50000000,1,inf,99
"Insert",50000000,2,inf,6
"Insert",50000000,3,inf,6
"Insert",50000000,4,inf,6
"Insert",50000000,5,inf,6
"Insert",50000000,6,inf,6
"Insert",50000000,7,inf,6
"Insert",50000000,8,inf,6
"Insert",50000000,9,inf,6
"Insert",50000000,10,inf,6
"Insert",10000000,1,inf,99
"Insert",10000000,2,inf,1
"Insert",10000000,3,inf,1
"Insert",10000000,4,inf,1
"Insert",10000000,5,inf,1
"Insert",10000000,6,inf,1
"Insert",10000000,7,inf,1
"Insert",10000000,8,inf,1
