"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",50000000,1,26.61,82
"Quick",50000000,2,25.25,129
"Quick",50000000,3,29.8,140
"Quick",50000000,4,28.95,180
"Quick",50000000,5,33.59,165
"Quick",50000000,6,30.11,189
"Quick",50000000,7,34.02,175
"Quick",50000000,8,33.72,183
"Quick",50000000,9,37.89,169
"Quick",50000000,10,36.64,182
"Quick",10000000,1,4.14,100
"Quick",10000000,2,4.38,143
"Quick",10000000,3,5.18,155
"Quick",10000000,4,4.83,209
"Quick",10000000,5,5.72,185
"Quick",10000000,6,5.38,206
"Quick",10000000,7,6.27,186
"Quick",10000000,8,5.9,205
"Quick",10000000,9,6.57,192
"Quick",10000000,10,6.82,192
"Quick",1000000,1,0.39,99
"Quick",1000000,2,0.43,142
"Quick",1000000,3,0.52,153
"Quick",1000000,4,0.5,206
"Quick",1000000,5,0.6,183
"Quick",1000000,6,0.59,203
"Quick",1000000,7,0.61,184
"Quick",1000000,8,0.58,201
"Quick",1000000,9,0.66,187
"Quick",1000000,10,0.63,202
"Quick",500000,1,0.19,100
"Quick",500000,2,0.24,148
"Quick",500000,3,0.27,154
"Quick",500000,4,0.27,204
"Quick",500000,5,0.29,173
"Quick",500000,6,0.27,204
"Quick",500000,7,0.31,183
"Quick",500000,8,0.32,196
"Quick",500000,9,0.36,186
"Quick",500000,10,0.32,197
"Quick",100000,1,0.03,94
"Quick",100000,2,0.06,95
"Quick",100000,3,0.05,155
"Quick",100000,4,0.05,190
"Quick",100000,5,0.06,171
"Quick",100000,6,0.06,188
"Quick",100000,7,0.06,178
"Quick",100000,8,0.06,194
"Quick",100000,9,0.07,185
"Quick",100000,10,0.07,201
"Quick",10000,1,0.0,100
"Quick",10000,2,0.0,137
"Quick",10000,3,0.01,118
"Quick",10000,4,0.01,160
"Quick",10000,5,0.01,158
"Quick",10000,6,0.01,175
"Quick",10000,7,0.01,158
"Quick",10000,8,0.01,200
"Quick",10000,9,0.01,194
"Quick",10000,10,0.01,200
"Quick",1000,1,0.0,100
"Quick",1000,2,0.0,133
"Quick",1000,3,0.0,150
"Quick",1000,4,0.0,160
"Quick",1000,5,0.0,157
"Quick",1000,6,0.0,175
"Quick",1000,7,0.01,180
"Quick",1000,8,0.01,181
"Quick",1000,9,0.01,169
"Quick",1000,10,0.01,191
"Heap",50000000,1,41.36,92
"Heap",50000000,2,32.74,148
"Heap",50000000,3,36.11,168
"Heap",50000000,4,32.0,238
"Heap",50000000,5,39.69,193
"Heap",50000000,6,37.13,211
"Heap",50000000,7,38.89,205
"Heap",50000000,8,39.18,207
"Heap",50000000,9,42.19,196
"Heap",50000000,10,40.64,209
"Heap",10000000,1,6.52,99
"Heap",10000000,2,5.48,155
"Heap",10000000,3,6.19,174
"Heap",10000000,4,5.56,235
"Heap",10000000,5,6.37,210
"Heap",10000000,6,6.03,226
"Heap",10000000,7,6.78,209
"Heap",10000000,8,6.55,223
"Heap",10000000,9,7.14,206
"Heap",10000000,10,7.83,207
"Heap",1000000,1,0.49,99
"Heap",1000000,2,0.48,148
"Heap",1000000,3,0.56,162
"Heap",1000000,4,0.51,218
"Heap",1000000,5,0.62,193
"Heap",1000000,6,0.56,212
"Heap",1000000,7,0.71,194
"Heap",1000000,8,0.6,211
"Heap",1000000,9,0.68,196
"Heap",1000000,10,0.71,207
"Heap",500000,1,0.23,99
"Heap",500000,2,0.24,148
"Heap",500000,3,0.28,160
"Heap",500000,4,0.29,213
"Heap",500000,5,0.33,185
"Heap",500000,6,0.28,203
"Heap",500000,7,0.32,190
"Heap",500000,8,0.39,205
"Heap",500000,9,0.37,189
"Heap",500000,10,0.33,206
"Heap",100000,1,0.04,97
"Heap",100000,2,0.05,152
"Heap",100000,3,0.06,157
"Heap",100000,4,0.05,201
"Heap",100000,5,0.06,173
"Heap",100000,6,0.06,191
"Heap",100000,7,0.08,185
"Heap",100000,8,0.06,201
"Heap",100000,9,0.08,185
"Heap",100000,10,0.07,200
"Heap",10000,1,0.0,100
"Heap",10000,2,0.0,128
"Heap",10000,3,0.01,140
"Heap",10000,4,0.01,163
"Heap",10000,5,0.01,157
"Heap",10000,6,0.01,166
"Heap",10000,7,0.01,175
"Heap",10000,8,0.01,187
"Heap",10000,9,0.01,194
"Heap",10000,10,0.02,195
"Heap",1000,1,0.0,100
"Heap",1000,2,0.0,133
"Heap",1000,3,0.0,120
"Heap",1000,4,0.0,160
"Heap",1000,5,0.0,166
"Heap",1000,6,0.01,140
"Heap",1000,7,0.01,190
"Heap",1000,8,0.01,172
"Heap",1000,9,0.01,190
"Heap",1000,10,0.01,183
"Insert",50000000,1,inf,99
"Insert",50000000,2,inf,6
"Insert",50000000,3,inf,6
"Insert",50000000,4,inf,6
"Insert",50000000,5,inf,6
"Insert",50000000,6,inf,6
"Insert",50000000,7,inf,6
"Insert",50000000,8,inf,6
"Insert",50000000,9,inf,6
"Insert",50000000,10,inf,6
"Insert",10000000,1,inf,99
"Insert",10000000,2,inf,1
"Insert",10000000,3,inf,1
"Insert",10000000,4,inf,1
"Insert",10000000,5,inf,1
"Insert",10000000,6,inf,1
"Insert",10000000,7,inf,1
"Insert",10000000,8,inf,1
"Insert",10000000,9,inf,1
"Insert",10000000,10,inf,1
"Insert",1000000,1,inf,99
"Insert",1000000,2,inf,0
"Insert",1000000,3,inf,0
"Insert",1000000,4,inf,0
"Insert",1000000,5,inf,0
"Insert",1000000,6,57.5,394
"Insert",1000000,7,52.76,363
"Insert",1000000,8,47.21,351
"Insert",1000000,9,38.94,389
"Insert",1000000,10,34.52,391
"Insert",500000,1,inf,99
"Insert",500000,2,48.76,199
"Insert",500000,3,31.11,268
"Insert",500000,4,23.84,338
"Insert",500000,5,17.1,391
"Insert",500000,6,14.29,391
"Insert",500000,7,12.34,385
"Insert",500000,8,11.0,390
"Insert",500000,9,9.8,387
"Insert",500000,10,8.87,388
"Insert",100000,1,7.58,99
"Insert",100000,2,1.97,198
"Insert",100000,3,1.28,264
"Insert",100000,4,0.89,385
"Insert",100000,5,0.76,345
"Insert",100000,6,0.62,373
"Insert",100000,7,0.54,368
"Insert",100000,8,0.49,360
"Insert",100000,9,0.44,357
"Insert",100000,10,0.43,351
"Insert",10000,1,0.08,100
"Insert",10000,2,0.03,183
"Insert",10000,3,0.02,216
"Insert",10000,4,0.02,242
"Insert",10000,5,0.02,209
"Insert",10000,6,0.02,220
"Insert",10000,7,0.02,215
"Insert",10000,8,0.01,244
"Insert",10000,9,0.02,213
"Insert",10000,10,0.02,209
"Insert",1000,1,0.0,100
"Insert",1000,2,0.0,133
"Insert",1000,3,0.0,150
"Insert",1000,4,0.0,225
"Insert",1000,5,0.0,157
"Insert",1000,6,0.0,162
"Insert",1000,7,0.01,163
"Insert",1000,8,0.01,183
"Insert",1000,9,0.01,175
"Insert",1000,10,0.01,190

"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",40000000,1,19.32,91
"Quick",40000000,2,20.88,125
"Quick",40000000,3,22.8,145
"Quick",40000000,4,23.32,177
"Quick",40000000,5,26.89,163
"Quick",40000000,6,25.08,183
"Quick",40000000,7,29.49,161
"Quick",40000000,8,28.62,175
"Quick",40000000,9,27.59,185
"Quick",40000000,10,30.11,175
"Quick",30000000,1,13.75,92
