"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",50000000,1,24.02,88
"Quick",50000000,2,29.62,133
"Quick",50000000,3,33.53,152
"Quick",50000000,4,34.99,202
"Quick",50000000,5,36.76,200
"Quick",50000000,6,37.5,213
"Quick",50000000,7,39.91,207
"Quick",50000000,8,39.03,222
"Quick",50000000,9,41.26,221
"Quick",50000000,10,41.93,223
"Quick",10000000,1,4.1,99
"Quick",10000000,2,5.24,152
"Quick",10000000,3,5.85,171
"Quick",10000000,4,5.91,239
"Quick",10000000,5,6.61,214
"Quick",10000000,6,6.91,224
"Quick",10000000,7,6.76,239
"Quick",10000000,8,6.68,258
"Quick",10000000,9,7.38,247
"Quick",10000000,10,7.56,243
"Quick",1000000,1,0.38,100
"Quick",1000000,2,0.53,152
"Quick",1000000,3,0.6,172
"Quick",1000000,4,0.63,234
"Quick",1000000,5,0.65,217
"Quick",1000000,6,0.68,221
"Quick",1000000,7,0.71,228
"Quick",1000000,8,0.72,250
"Quick",1000000,9,0.73,230
"Quick",1000000,10,0.78,230
"Quick",500000,1,0.19,100
"Quick",500000,2,0.25,150
"Quick",500000,3,0.31,174
"Quick",500000,4,0.32,230
"Quick",500000,5,0.35,211
"Quick",500000,6,0.35,221
"Quick",500000,7,0.35,228
"Quick",500000,8,0.33,243
"Quick",500000,9,0.4,235
"Quick",500000,10,0.39,219
"Quick",100000,1,0.03,100
"Quick",100000,2,0.05,152
"Quick",100000,3,0.06,175
"Quick",100000,4,0.06,221
"Quick",100000,5,0.31,33
"Quick",100000,6,0.07,213
"Quick",100000,7,0.07,189
"Quick",100000,8,0.07,214
"Quick",100000,9,0.15,72
"Quick",100000,10,0.08,212
"Quick",10000,1,0.0,100
"Quick",10000,2,0.0,150
"Quick",10000,3,0.01,123
"Quick",10000,4,0.12,8
"Quick",10000,5,0.01,161
"Quick",10000,6,0.01,181
"Quick",10000,7,0.01,188
"Quick",10000,8,0.01,184
"Quick",10000,9,0.02,195
"Quick",10000,10,0.02,195
"Quick",1000,1,0.0,100
"Quick",1000,2,0.0,100
"Quick",1000,3,0.0,150
"Quick",1000,4,0.0,150
"Quick",1000,5,0.0,150
"Quick",1000,6,0.0,177
"Quick",1000,7,0.01,180
"Quick",1000,8,0.01,175
"Quick",1000,9,0.12,18
"Quick",1000,10,0.01,200
"Heap",50000000,1,42.06,89
"Heap",50000000,2,32.8,153
"Heap",50000000,3,38.22,165
"Heap",50000000,4,36.31,210
"Heap",50000000,5,37.12,209
"Heap",50000000,6,41.13,204
"Heap",50000000,7,36.93,225
"Heap",50000000,8,39.63,227
"Heap",50000000,9,40.8,219
"Heap",50000000,10,44.7,206
"Heap",10000000,1,6.96,99
"Heap",10000000,2,6.12,155
"Heap",10000000,3,7.01,186
"Heap",10000000,4,5.78,227
"Heap",10000000,5,6.42,212
"Heap",10000000,6,6.86,214
"Heap",10000000,7,6.46,228
"Heap",10000000,8,6.66,247
"Heap",10000000,9,7.6,225
"Heap",10000000,10,7.16,234
"Heap",1000000,1,0.5,100
"Heap",1000000,2,0.49,148
"Heap",1000000,3,0.57,164
"Heap",1000000,4,0.51,216
"Heap",1000000,5,0.57,198
"Heap",1000000,6,0.63,205
"Heap",1000000,7,0.62,214
"Heap",1000000,8,0.6,240
"Heap",1000000,9,0.67,223
"Heap",1000000,10,0.73,214
"Heap",500000,1,0.23,99
"Heap",500000,2,0.29,108
"Heap",500000,3,0.28,162
"Heap",500000,4,0.25,211
"Heap",500000,5,0.3,195
"Heap",500000,6,0.31,200
"Heap",500000,7,0.34,209
"Heap",500000,8,0.36,219
"Heap",500000,9,0.35,218
"Heap",500000,10,0.33,221
"Heap",100000,1,0.04,97
"Heap",100000,2,0.05,155
"Heap",100000,3,0.06,159
"Heap",100000,4,0.06,191
"Heap",100000,5,0.07,175
"Heap",100000,6,0.07,190
"Heap",100000,7,0.07,197
"Heap",100000,8,0.07,194
"Heap",100000,9,0.08,196
"Heap",100000,10,0.08,186
"Heap",10000,1,0.0,100
"Heap",10000,2,0.0,142
"Heap",10000,3,0.01,133
"Heap",10000,4,0.01,146
"Heap",10000,5,0.01,157
"Heap",10000,6,0.01,176
"Heap",10000,7,0.01,172
"Heap",10000,8,0.01,210
"Heap",10000,9,0.12,23
"Heap",10000,10,0.02,204
"Heap",1000,1,0.0,100
"Heap",1000,2,0.0,133
"Heap",1000,3,0.0,150
"Heap",1000,4,0.0,150
"Heap",1000,5,0.0,137
"Heap",1000,6,0.12,4
"Heap",1000,7,0.01,170
"Heap",1000,8,0.01,152
"Heap",1000,9,0.02,106
"Heap",1000,10,0.03,206
"Insert",50000000,1,inf,99
"Insert",50000000,2,inf,193
"Insert",50000000,3,inf,287
"Insert",50000000,4,inf,380
"Insert",50000000,5,inf,380
"Insert",50000000,6,inf,380
"Insert",50000000,7,inf,380
"Insert",50000000,8,inf,380
"Insert",50000000,9,inf,380
"Insert",50000000,10,inf,379
"Insert",10000000,1,inf,99
"Insert",10000000,2,inf,198
"Insert",10000000,3,inf,297
"Insert",10000000,4,inf,381
"Insert",10000000,5,inf,388
"Insert",10000000,6,inf,395
"Insert",10000000,7,inf,395
"Insert",10000000,8,inf,395
"Insert",10000000,9,inf,395
"Insert",10000000,10,inf,394
"Insert",1000000,1,inf,99
"Insert",1000000,2,inf,199
"Insert",1000000,3,inf,299
"Insert",1000000,4,inf,398
"Insert",1000000,5,inf,398
"Insert",1000000,6,57.41,394
"Insert",1000000,7,49.7,388
"Insert",1000000,8,43.2,395
"Insert",1000000,9,38.52,394
"Insert",1000000,10,34.61,395
"Insert",500000,1,inf,99
"Insert",500000,2,49.08,199
"Insert",500000,3,31.12,268
"Insert",500000,4,21.58,395
"Insert",500000,5,17.31,392
"Insert",500000,6,14.51,389
"Insert",500000,7,12.49,389
"Insert",500000,8,10.98,390
"Insert",500000,9,9.83,387
"Insert",500000,10,8.83,388
"Insert",100000,1,7.55,100
"Insert",100000,2,1.98,198
"Insert",100000,3,1.29,264
"Insert",100000,4,0.9,384
"Insert",100000,5,0.74,369
"Insert",100000,6,0.63,367
"Insert",100000,7,0.55,366
"Insert",100000,8,0.49,371
"Insert",100000,9,0.44,363
"Insert",100000,10,0.42,354
"Insert",10000,1,0.08,100
"Insert",10000,2,0.02,177
"Insert",10000,3,0.02,212
"Insert",10000,4,0.02,230
"Insert",10000,5,0.02,205
"Insert",10000,6,0.02,215
"Insert",10000,7,0.02,191
"Insert",10000,8,0.13,32
"Insert",10000,9,0.02,222
"Insert",10000,10,0.02,220
"Insert",1000,1,0.0,100
"Insert",1000,2,0.0,125
"Insert",1000,3,0.11,2
"Insert",1000,4,0.0,128
"Insert",1000,5,0.0,150
"Insert",1000,6,0.01,145
"Insert",1000,7,0.01,142
"Insert",1000,8,0.01,157
"Insert",1000,9,0.01,207
"Insert",1000,10,0.01,193

"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",40000000,1,18.79,90
"Quick",40000000,2,24.59,129
"Quick",40000000,3,26.04,164
"Quick",40000000,4,25.21,224
"Quick",40000000,5,30.14,193
"Quick",40000000,6,31.73,203
"Quick",40000000,7,32.43,201
"Quick",40000000,8,30.07,242
