"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",50000000,1,21.14,99
"Quick",50000000,2,34.74,94
"Quick",50000000,3,40.46,90
"Quick",50000000,4,45.71,90
"Quick",50000000,5,49.13,92
"Quick",50000000,6,53.71,92
"Quick",50000000,7,56.68,95
"Quick",50000000,8,60.84,95
"Quick",50000000,9,63.17,98
"Quick",50000000,10,70.99,93
"Quick",10000000,1,4.06,99
"Quick",10000000,2,6.12,99
"Quick",10000000,3,7.18,99
"Quick",10000000,4,8.12,99
"Quick",10000000,5,8.98,99
"Quick",10000000,6,9.78,99
"Quick",10000000,7,10.68,99
"Quick",10000000,8,11.45,99
"Quick",10000000,9,12.31,99
"Quick",10000000,10,13.07,99
"Quick",1000000,1,0.38,100
"Quick",1000000,2,0.59,99
"Quick",1000000,3,0.7,99
"Quick",1000000,4,0.79,99
"Quick",1000000,5,0.88,99
"Quick",1000000,6,0.97,99
"Quick",1000000,7,1.05,99
"Quick",1000000,8,1.14,99
"Quick",1000000,9,1.22,99
"Quick",1000000,10,1.3,99
"Quick",500000,1,0.19,99
"Quick",500000,2,0.29,99
"Quick",500000,3,0.35,99
"Quick",500000,4,0.39,99
"Quick",500000,5,0.44,99
"Quick",500000,6,0.48,99
"Quick",500000,7,0.53,99
"Quick",500000,8,0.58,98
"Quick",500000,9,0.62,99
"Quick",500000,10,0.66,99
"Quick",100000,1,0.03,97
"Quick",100000,2,0.06,100
"Quick",100000,3,0.07,100
"Quick",100000,4,0.08,100
"Quick",100000,5,0.09,98
"Quick",100000,6,0.1,99
"Quick",100000,7,0.11,100
"Quick",100000,8,0.12,99
"Quick",100000,9,0.13,99
"Quick",100000,10,0.14,99
"Quick",10000,1,0.0,100
"Quick",10000,2,0.0,100
"Quick",10000,3,0.01,100
"Quick",10000,4,0.01,100
"Quick",10000,5,0.01,100
"Quick",10000,6,0.02,95
"Quick",10000,7,0.02,100
"Quick",10000,8,0.02,100
"Quick",10000,9,0.03,96
"Quick",10000,10,0.03,100
"Quick",1000,1,0.0,0
"Quick",1000,2,0.0,100
"Quick",1000,3,0.0,80
"Quick",1000,4,0.0,85
"Quick",1000,5,0.0,100
"Quick",1000,6,0.01,92
"Quick",1000,7,0.01,100
"Quick",1000,8,0.01,100
"Quick",1000,9,0.01,100
"Quick",1000,10,0.02,100
"Heap",50000000,1,40.61,94
"Heap",50000000,2,48.16,94
"Heap",50000000,3,52.45,95
"Heap",50000000,4,56.1,95
"Heap",50000000,5,60.94,94
"Heap",50000000,6,64.37,94
"Heap",50000000,7,67.46,95
"Heap",50000000,8,75.37,90
"Heap",50000000,9,73.5,98
"Heap",50000000,10,83.07,95
"Heap",10000000,1,6.47,99
"Heap",10000000,2,8.11,99
"Heap",10000000,3,8.92,99
"Heap",10000000,4,9.67,99
"Heap",10000000,5,10.4,99
"Heap",10000000,6,11.13,99
"Heap",10000000,7,12.32,97
"Heap",10000000,8,12.87,99
"Heap",10000000,9,13.37,99
"Heap",10000000,10,14.1,99
"Heap",1000000,1,0.49,100
"Heap",1000000,2,0.67,99
"Heap",1000000,3,0.77,99
"Heap",1000000,4,0.86,99
"Heap",1000000,5,0.95,99
"Heap",1000000,6,1.05,98
"Heap",1000000,7,1.12,100
"Heap",1000000,8,1.2,99
"Heap",1000000,9,1.28,100
"Heap",1000000,10,1.36,99
"Heap",500000,1,0.23,99
"Heap",500000,2,0.33,100
"Heap",500000,3,0.38,99
"Heap",500000,4,0.43,99
"Heap",500000,5,0.47,99
"Heap",500000,6,0.52,100
"Heap",500000,7,0.56,100
"Heap",500000,8,0.6,100
"Heap",500000,9,0.65,99
"Heap",500000,10,0.68,99
"Heap",100000,1,0.04,97
"Heap",100000,2,0.06,98
"Heap",100000,3,0.07,98
"Heap",100000,4,0.09,100
"Heap",100000,5,0.1,100
"Heap",100000,6,0.11,100
"Heap",100000,7,0.12,100
"Heap",100000,8,0.13,100
"Heap",100000,9,0.14,100
"Heap",100000,10,0.15,99
"Heap",10000,1,0.0,100
"Heap",10000,2,0.0,100
"Heap",10000,3,0.01,100
"Heap",10000,4,0.01,100
"Heap",10000,5,0.02,95
"Heap",10000,6,0.02,100
"Heap",10000,7,0.02,96
"Heap",10000,8,0.02,100
"Heap",10000,9,0.03,100
"Heap",10000,10,0.03,100
"Heap",1000,1,0.0,100
"Heap",1000,2,0.0,100
"Heap",1000,3,0.0,100
"Heap",1000,4,0.0,100
"Heap",1000,5,0.0,88
"Heap",1000,6,0.01,100
"Heap",1000,7,0.01,93
"Heap",1000,8,0.01,94
"Heap",1000,9,0.01,100
"Heap",1000,10,0.02,95
"Insert",50000000,1,inf,99
"Insert",50000000,2,inf,99
"Insert",50000000,3,inf,99
"Insert",50000000,4,inf,99
"Insert",50000000,5,inf,99
"Insert",50000000,6,inf,99
"Insert",50000000,7,inf,99
"Insert",50000000,8,inf,100
"Insert",50000000,9,inf,99
"Insert",50000000,10,inf,100
"Insert",10000000,1,inf,99
"Insert",10000000,2,inf,99
"Insert",10000000,3,inf,99
"Insert",10000000,4,inf,100
"Insert",10000000,5,inf,99
"Insert",10000000,6,inf,99
