"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Insert",10000000,7,inf,99
"Insert",10000000,8,inf,99
"Insert",10000000,9,inf,99
"Insert",10000000,10,inf,99
"Insert",1000000,1,inf,99
"Insert",1000000,2,inf,99
"Insert",1000000,3,inf,99
"Insert",1000000,4,inf,99
"Insert",1000000,5,inf,99
"Insert",1000000,6,inf,99
"Insert",1000000,7,inf,99
"Insert",1000000,8,inf,99
"Insert",1000000,9,inf,99
"Insert",1000000,10,inf,99
"Insert",500000,1,inf,99
"Insert",500000,2,inf,99
"Insert",500000,3,inf,99
"Insert",500000,4,47.54,99
"Insert",500000,5,38.11,99
"Insert",500000,6,31.91,99
"Insert",500000,7,27.4,99
"Insert",500000,8,24.2,99
"Insert",500000,9,21.5,99
"Insert",500000,10,19.5,99
"Insert",100000,1,7.66,99
"Insert",100000,2,3.81,99
"Insert",100000,3,2.57,99
"Insert",100000,4,1.97,99
"Insert",100000,5,1.59,99
"Insert",100000,6,1.35,99
"Insert",100000,7,1.18,99
"Insert",100000,8,1.06,100
"Insert",100000,9,0.96,99
"Insert",100000,10,0.89,99
"Insert",10000,1,0.1,75
"Insert",10000,2,0.04,100
"Insert",10000,3,0.03,94
"Insert",10000,4,0.03,100
"Insert",10000,5,0.03,97
"Insert",10000,6,0.03,100
"Insert",10000,7,0.03,97
"Insert",10000,8,0.03,97
"Insert",10000,9,0.03,100
"Insert",10000,10,0.03,100
"Insert",1000,1,0.0,12
"Insert",1000,2,0.0,100
"Insert",1000,3,0.0,83
"Insert",1000,4,0.0,85
"Insert",1000,5,0.0,88
"Insert",1000,6,0.01,92
"Insert",1000,7,0.01,100
"Insert",1000,8,0.01,100
"Insert",1000,9,0.01,94
"Insert",1000,10,0.02,100

"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",40000000,1,17.12,99
"Quick",40000000,2,29.12,86
"Quick",40000000,3,32.68,90
"Quick",40000000,4,34.73,94
"Quick",40000000,5,42.31,86
"Quick",40000000,6,45.23,88
"Quick",40000000,7,45.83,94
"Quick",40000000,8,48.89,94
"Quick",40000000,9,51.84,95
"Quick",40000000,10,54.68,96
"Quick",30000000,1,12.54,100
"Quick",30000000,2,19.68,94
"Quick",30000000,3,22.93,95
"Quick",30000000,4,25.73,95
"Quick",30000000,5,28.2,96
"Quick",30000000,6,30.77,96
"Quick",30000000,7,33.44,96
"Quick",30000000,8,35.74,96
"Quick",30000000,9,37.7,98
"Quick",30000000,10,40.67,97
"Quick",20000000,1,8.32,99
"Quick",20000000,2,12.83,96
"Quick",20000000,3,14.96,96
"Quick",20000000,4,17.78,91
"Quick",20000000,5,18.47,97
"Quick",20000000,6,20.41,96
"Quick",20000000,7,22.71,94
"Quick",20000000,8,23.59,98
"Quick",20000000,9,25.07,98
"Quick",20000000,10,27.48,95
"Heap",40000000,1,31.88,94
"Heap",40000000,2,40.0,90
"Heap",40000000,3,43.1,94
"Heap",40000000,4,46.03,95
"Heap",40000000,5,46.89,96
"Heap",40000000,6,54.06,89
"Heap",40000000,7,54.05,94
"Heap",40000000,8,59.15,91
"Heap",40000000,9,59.37,96
"Heap",40000000,10,61.92,97
"Heap",30000000,1,22.57,95
"Heap",30000000,2,27.49,95
"Heap",30000000,3,30.68,94
"Heap",30000000,4,32.37,96
"Heap",30000000,5,35.11,95
"Heap",30000000,6,36.99,96
"Heap",30000000,7,38.85,97
"Heap",30000000,8,41.35,96
"Heap",30000000,9,43.39,97
"Heap",30000000,10,45.23,98
"Heap",20000000,1,14.24,96
"Heap",20000000,2,17.54,97
"Heap",20000000,3,19.27,97
"Heap",20000000,4,20.65,97
"Heap",20000000,5,22.18,97
"Heap",20000000,6,24.6,94
"Heap",20000000,7,25.36,98
"Heap",20000000,8,26.52,98
"Heap",20000000,9,29.22,95
"Heap",20000000,10,29.31,99
"Insert",40000000,1,inf,99
"Insert",40000000,2,inf,99
"Insert",40000000,3,inf,99
"Insert",40000000,4,inf,99
"Insert",40000000,5,inf,99
"Insert",40000000,6,inf,99
"Insert",40000000,7,inf,99
"Insert",40000000,8,inf,99
"Insert",40000000,9,inf,99
"Insert",40000000,10,inf,99
"Insert",30000000,1,inf,99
"Insert",30000000,2,inf,99
"Insert",30000000,3,inf,99
"Insert",30000000,4,inf,99
"Insert",30000000,5,inf,99
"Insert",30000000,6,inf,99
"Insert",30000000,7,inf,99
"Insert",30000000,8,inf,99
"Insert",30000000,9,inf,99
"Insert",30000000,10,inf,99
"Insert",20000000,1,inf,99
"Insert",20000000,2,inf,99
"Insert",20000000,3,inf,99
"Insert",20000000,4,inf,99
"Insert",20000000,5,inf,99
"Insert",20000000,6,inf,99
"Insert",20000000,7,inf,99
"Insert",20000000,8,inf,99
"Insert",20000000,9,inf,99
"Insert",20000000,10,inf,99
