"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Insert",10000000,4,inf,395
"Insert",10000000,5,inf,395
"Insert",10000000,6,inf,395
"Insert",10000000,7,inf,395
"Insert",10000000,8,inf,392
"Insert",10000000,9,inf,394
"Insert",10000000,10,inf,394
"Insert",1000000,1,inf,99
"Insert",1000000,2,inf,199
"Insert",1000000,3,inf,299
"Insert",1000000,4,inf,397
"Insert",1000000,5,inf,397
"Insert",1000000,6,57.65,394
"Insert",1000000,7,49.62,392
"Insert",1000000,8,43.37,393
"Insert",1000000,9,39.0,391
"Insert",1000000,10,34.7,394
"Insert",500000,1,inf,99
"Insert",500000,2,48.92,199
"Insert",500000,3,31.09,269
"Insert",500000,4,21.6,395
"Insert",500000,5,17.66,381
"Insert",500000,6,14.55,388
"Insert",500000,7,12.53,386
"Insert",500000,8,10.99,390
"Insert",500000,9,9.81,388
"Insert",500000,10,8.85,388
"Insert",100000,1,7.57,99
"Insert",100000,2,1.99,199
"Insert",100000,3,1.26,267
"Insert",100000,4,0.89,386
"Insert",100000,5,0.74,372
"Insert",100000,6,0.64,356
"Insert",100000,7,0.57,345
"Insert",100000,8,0.48,368
"Insert",100000,9,0.46,349
"Insert",100000,10,0.42,352
"Insert",10000,1,0.08,100
"Insert",10000,2,0.03,192
"Insert",10000,3,0.01,247
"Insert",10000,4,0.02,235
"Insert",10000,5,0.02,204
"Insert",10000,6,0.02,209
"Insert",10000,7,0.02,191
"Insert",10000,8,0.02,195
"Insert",10000,9,0.02,180
"Insert",10000,10,0.02,216
"Insert",1000,1,0.0,100
"Insert",1000,2,0.0,200
"Insert",1000,3,0.0,200
"Insert",1000,4,0.0,160
"Insert",1000,5,0.0,142
"Insert",1000,6,0.0,185
"Insert",1000,7,0.01,128
"Insert",1000,8,0.01,175
"Insert",1000,9,0.01,164
"Insert",1000,10,0.01,158

"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",40000000,1,19.42,88
"Quick",40000000,2,14.02,177
"Quick",40000000,3,13.14,242
"Quick",40000000,4,25.96,214
"Quick",40000000,5,30.67,194
"Quick",40000000,6,28.67,209
"Quick",40000000,7,32.89,191
"Quick",40000000,8,33.3,198
"Quick",40000000,9,33.48,202
"Quick",40000000,10,32.46,216
"Quick",30000000,1,13.88,92
"Quick",30000000,2,10.61,177
"Quick",30000000,3,9.91,239
"Quick",30000000,4,19.51,217
"Quick",30000000,5,20.98,205
"Quick",30000000,6,20.36,221
"Quick",30000000,7,22.35,208
"Quick",30000000,8,22.05,225
"Quick",30000000,9,24.45,210
"Quick",30000000,10,24.27,214
"Quick",20000000,1,8.74,96
"Quick",20000000,2,7.08,177
"Quick",20000000,3,6.26,242
"Quick",20000000,4,13.37,209
"Quick",20000000,5,13.75,213
"Quick",20000000,6,13.25,229
"Quick",20000000,7,14.67,214
"Quick",20000000,8,14.3,229
"Quick",20000000,9,15.71,216
"Quick",20000000,10,15.28,228
"Heap",40000000,1,31.53,94
"Heap",40000000,2,17.25,182
"Heap",40000000,3,15.27,244
"Heap",40000000,4,27.43,217
"Heap",40000000,5,30.22,201
"Heap",40000000,6,29.04,214
"Heap",40000000,7,34.12,186
"Heap",40000000,8,29.45,220
"Heap",40000000,9,32.9,201
"Heap",40000000,10,32.03,210
"Heap",30000000,1,22.66,95
"Heap",30000000,2,12.67,181
"Heap",30000000,3,11.84,220
"Heap",30000000,4,19.59,221
"Heap",30000000,5,21.03,206
"Heap",30000000,6,20.13,223
"Heap",30000000,7,22.17,208
"Heap",30000000,8,21.45,221
"Heap",30000000,9,23.33,206
"Heap",30000000,10,22.65,218
"Heap",20000000,1,14.26,97
"Heap",20000000,2,8.16,181
"Heap",20000000,3,7.15,239
"Heap",20000000,4,11.98,232
"Heap",20000000,5,13.46,213
"Heap",20000000,6,13.78,211
"Heap",20000000,7,14.28,208
"Heap",20000000,8,13.81,223
"Heap",20000000,9,14.69,213
"Heap",20000000,10,14.59,221
"Insert",40000000,1,inf,99
"Insert",40000000,2,inf,196
"Insert",40000000,3,inf,292
"Insert",40000000,4,inf,388
"Insert",40000000,5,inf,388
"Insert",40000000,6,inf,388
"Insert",40000000,7,inf,388
"Insert",40000000,8,inf,388
"Insert",40000000,9,inf,387
"Insert",40000000,10,inf,388
"Insert",30000000,1,inf,99
"Insert",30000000,2,inf,197
"Insert",30000000,3,inf,294
"Insert",30000000,4,inf,388
"Insert",30000000,5,inf,390
"Insert",30000000,6,inf,390
"Insert",30000000,7,inf,389
"Insert",30000000,8,inf,390
"Insert",30000000,9,inf,390
"Insert",30000000,10,inf,390
"Insert",20000000,1,inf,99
"Insert",20000000,2,inf,198
"Insert",20000000,3,inf,296
"Insert",20000000,4,inf,393
"Insert",20000000,5,inf,393
"Insert",20000000,6,inf,393
"Insert",20000000,7,inf,393
"Insert",20000000,8,inf,393
"Insert",20000000,9,inf,393
"Insert",20000000,10,inf,393
