"sort_algo","entry_lines","split","time(sec)","cpu(%)"
"Quick",50000000,1,21.14,99
"Quick",50000000,2,18.54,169
"Quick",50000000,3,15.9,232
"Quick",50000000,4,31.93,204
"Quick",50000000,5,38.36,191
"Quick",50000000,6,35.02,218
"Quick",50000000,7,39.67,199
"Quick",50000000,8,40.16,206
"Quick",50000000,9,45.81,185
"Quick",50000000,10,41.85,210
"Quick",10000000,1,4.09,99
"Quick",10000000,2,3.53,178
"Quick",10000000,3,3.08,240
"Quick",10000000,4,5.89,238
"Quick",10000000,5,6.62,216
"Quick",10000000,6,6.21,229
"Quick",10000000,7,7.17,218
"Quick",10000000,8,6.99,234
"Quick",10000000,9,7.69,219
"Quick",10000000,10,7.35,232
"Quick",1000000,1,0.38,100
"Quick",1000000,2,0.37,178
"Quick",1000000,3,0.31,237
"Quick",1000000,4,0.59,239
"Quick",1000000,5,0.64,209
"Quick",1000000,6,0.64,223
"Quick",1000000,7,0.72,210
"Quick",1000000,8,0.68,226
"Quick",1000000,9,0.82,210
"Quick",1000000,10,0.72,224
"Quick",500000,1,0.19,99
"Quick",500000,2,0.19,179
"Quick",500000,3,0.16,233
"Quick",500000,4,0.32,235
"Quick",500000,5,0.33,206
"Quick",500000,6,0.31,223
"Quick",500000,7,0.36,214
"Quick",500000,8,0.42,221
"Quick",500000,9,0.38,208
"Quick",500000,10,0.46,216
"Quick",100000,1,0.03,97
"Quick",100000,2,0.03,178
"Quick",100000,3,0.03,238
"Quick",100000,4,0.06,229
"Quick",100000,5,0.06,181
"Quick",100000,6,0.07,214
"Quick",100000,7,0.07,194
"Quick",100000,8,0.08,202
"Quick",100000,9,0.08,188
"Quick",100000,10,0.1,193
"Quick",10000,1,0.0,100
"Quick",10000,2,0.0,160
"Quick",10000,3,0.0,220
"Quick",10000,4,0.01,181
"Quick",10000,5,0.01,178
"Quick",10000,6,0.01,180
"Quick",10000,7,0.01,157
"Quick",10000,8,0.01,168
"Quick",10000,9,0.02,171
"Quick",10000,10,0.02,185
"Quick",1000,1,0.0,100
"Quick",1000,2,0.0,150
"Quick",1000,3,0.0,150
"Quick",1000,4,0.0,180
"Quick",1000,5,0.0,142
"Quick",1000,6,0.0,155
"Quick",1000,7,0.01,158
"Quick",1000,8,0.01,131
"Quick",1000,9,0.01,185
"Quick",1000,10,0.01,186
"Heap",50000000,1,40.04,93
"Heap",50000000,2,21.98,182
"Heap",50000000,3,19.9,234
"Heap",50000000,4,35.86,208
"Heap",50000000,5,38.42,199
"Heap",50000000,6,36.19,214
"Heap",50000000,7,38.89,204
"Heap",50000000,8,39.39,206
"Heap",50000000,9,43.93,194
"Heap",50000000,10,40.8,207
"Heap",10000000,1,6.48,99
"Heap",10000000,2,3.77,179
"Heap",10000000,3,3.27,236
"Heap",10000000,4,5.52,235
"Heap",10000000,5,6.33,211
"Heap",10000000,6,6.08,225
"Heap",10000000,7,6.75,209
"Heap",10000000,8,6.5,225
"Heap",10000000,9,7.55,209
"Heap",10000000,10,6.93,222
"Heap",1000000,1,0.49,100
"Heap",1000000,2,0.32,175
"Heap",1000000,3,0.28,229
"Heap",1000000,4,0.53,216
"Heap",1000000,5,0.6,185
"Heap",1000000,6,0.6,207
"Heap",1000000,7,0.65,194
"Heap",1000000,8,0.66,207
"Heap",1000000,9,0.7,192
"Heap",1000000,10,0.67,207
"Heap",500000,1,0.23,99
"Heap",500000,2,0.17,176
"Heap",500000,3,0.15,219
"Heap",500000,4,0.25,210
"Heap",500000,5,0.3,184
"Heap",500000,6,0.34,194
"Heap",500000,7,0.32,189
"Heap",500000,8,0.32,200
"Heap",500000,9,0.35,188
"Heap",500000,10,0.33,200
"Heap",100000,1,0.04,100
"Heap",100000,2,0.03,177
"Heap",100000,3,0.03,216
"Heap",100000,4,0.05,198
"Heap",100000,5,0.07,168
"Heap",100000,6,0.06,183
"Heap",100000,7,0.07,177
"Heap",100000,8,0.07,188
"Heap",100000,9,0.08,180
"Heap",100000,10,0.1,195
"Heap",10000,1,0.0,100
"Heap",10000,2,0.0,175
"Heap",10000,3,0.0,175
"Heap",10000,4,0.01,145
"Heap",10000,5,0.01,153
"Heap",10000,6,0.01,166
"Heap",10000,7,0.01,188
"Heap",10000,8,0.01,182
"Heap",10000,9,0.02,190
"Heap",10000,10,0.02,181
"Heap",1000,1,0.0,0
"Heap",1000,2,0.0,200
"Heap",1000,3,0.0,300
"Heap",1000,4,0.0,160
"Heap",1000,5,0.0,157
"Heap",1000,6,0.0,166
"Heap",1000,7,0.01,150
"Heap",1000,8,0.01,158
"Heap",1000,9,0.01,161
"Heap",1000,10,0.01,200
"Insert",50000000,1,inf,99
"Insert",50000000,2,inf,193
"Insert",50000000,3,inf,287
"Insert",50000000,4,inf,378
"Insert",50000000,5,inf,380
"Insert",50000000,6,inf,380
"Insert",50000000,7,inf,380
"Insert",50000000,8,inf,379
"Insert",50000000,9,inf,368
"Insert",50000000,10,inf,370
"Insert",10000000,1,inf,99
"Insert",10000000,2,inf,198
"Insert",10000000,3,inf,297
